face_folder,audio_path,label,method,type,category,source_path,true_label,pred_label,prob_fake,threshold,is_correct,error_type
FakeAVCeleb_LipSync/test/0_571_id03781_00113,FakeAVCeleb_LipSync/test/0_571_id03781_00113.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/women/id03781\00113.mp4,0,1,0.89697265625,0.5499999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_75_id06776_00021,FakeAVCeleb_LipSync/test/0_75_id06776_00021.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (East)/men/id06776\00021.mp4,0,1,0.73876953125,0.5499999999999998,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/1_651_id07799_00063_id08139_wavtolip,FakeAVCeleb_LipSync/test/1_651_id07799_00063_id08139_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (East)/women/id07799\00063_id08139_wavtolip.mp4,1,0,0.481689453125,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_776_id01231_00015_id00383_wavtolip,FakeAVCeleb_LipSync/test/1_776_id01231_00015_id00383_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id01231\00015_id00383_wavtolip.mp4,1,0,0.4013671875,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_810_id03103_00130_id00829_wavtolip,FakeAVCeleb_LipSync/test/1_810_id03103_00130_id00829_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/African/women/id03103\00130_id00829_wavtolip.mp4,1,0,0.3857421875,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_394_id08402_00092_id07039_wavtolip,FakeAVCeleb_LipSync/test/1_394_id08402_00092_id07039_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/women/id08402\00092_id07039_wavtolip.mp4,1,0,0.3701171875,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_20_id01933_00028_id02005_wavtolip,FakeAVCeleb_LipSync/test/1_20_id01933_00028_id02005_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/African/men/id01933\00028_id02005_wavtolip.mp4,1,0,0.34033203125,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_734_id07194_00014_id00857_wavtolip,FakeAVCeleb_LipSync/test/1_734_id07194_00014_id00857_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (South)/men/id07194\00014_id00857_wavtolip.mp4,1,0,0.330322265625,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_498_id04111_00015_id01215_wavtolip,FakeAVCeleb_LipSync/test/1_498_id04111_00015_id01215_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/men/id04111\00015_id01215_wavtolip.mp4,1,0,0.299072265625,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_28_id00266_00470_id00368_wavtolip,FakeAVCeleb_LipSync/test/1_28_id00266_00470_id00368_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/men/id00266\00470_id00368_wavtolip.mp4,1,0,0.2880859375,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_188_id01521_00109_id01528_wavtolip,FakeAVCeleb_LipSync/test/1_188_id01521_00109_id01528_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/African/men/id01521\00109_id01528_wavtolip.mp4,1,0,0.27587890625,0.5499999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_892_id06470_00052_id00056_wavtolip,FakeAVCeleb_LipSync/test/1_892_id06470_00052_id00056_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/men/id06470\00052_id00056_wavtolip.mp4,1,0,0.21630859375,0.5499999999999998,False,false_real_fake_predicted_real
